"group","value","status","n","top-1","top-3","top-5","mrr@5","mrr_full","avg_rank","avg@5","output_dir","command"
"tau_max","1","ok","156","0.3141025641025641","0.532051282051282","0.6410256410256411","0.43493589743589756","0.47510730939766443","5.480769230769231","0.49572649572649574","E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\1","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\1 --dataset_type rcabench --seed 42 --tau_max 1 --top_k_services 8 --top_k_pods 10 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"tau_max","2","ok","156","0.3076923076923077","0.532051282051282","0.6730769230769231","0.43098290598290634","0.46560073706833177","5.467948717948718","0.5042735042735043","E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\2","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\2 --dataset_type rcabench --seed 42 --tau_max 2 --top_k_services 8 --top_k_pods 10 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"tau_max","3","ok","156","0.28205128205128205","0.5576923076923077","0.6858974358974359","0.42275641025641053","0.4546857009170441","5.506410256410256","0.5085470085470085","E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\3","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\3 --dataset_type rcabench --seed 42 --tau_max 3 --top_k_services 8 --top_k_pods 10 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"tau_max","5","ok","156","0.25","0.5064102564102564","0.6666666666666666","0.39412393162393183","0.42650490232389754","5.871794871794871","0.4743589743589743","E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\5","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156_tau_refined\tau_max\5 --dataset_type rcabench --seed 42 --tau_max 5 --top_k_services 8 --top_k_pods 10 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"candidate_k","5","ok","156","0.25","0.5064102564102564","0.6858974358974359","0.3936965811965815","0.4232578489016038","5.987179487179487","0.4807692307692308","E:\CauseLens-master\outputs\sensitivity_156\candidate_k\5","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156\candidate_k\5 --dataset_type rcabench --seed 42 --tau_max 2 --top_k_services 5 --top_k_pods 5 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"candidate_k","8","ok","156","0.3076923076923077","0.532051282051282","0.6730769230769231","0.43098290598290634","0.46560073706833177","5.467948717948718","0.5042735042735043","E:\CauseLens-master\outputs\sensitivity_156\candidate_k\8","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156\candidate_k\8 --dataset_type rcabench --seed 42 --tau_max 2 --top_k_services 8 --top_k_pods 8 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"candidate_k","10","ok","156","0.23076923076923078","0.46794871794871795","0.6153846153846154","0.3683760683760687","0.40563617073873737","6.512820512820513","0.43803418803418803","E:\CauseLens-master\outputs\sensitivity_156\candidate_k\10","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156\candidate_k\10 --dataset_type rcabench --seed 42 --tau_max 2 --top_k_services 10 --top_k_pods 10 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"candidate_k","15","ok","156","0.24358974358974358","0.5192307692307693","0.7115384615384616","0.4075854700854704","0.43781403625761456","5.3076923076923075","0.4914529914529915","E:\CauseLens-master\outputs\sensitivity_156\candidate_k\15","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156\candidate_k\15 --dataset_type rcabench --seed 42 --tau_max 2 --top_k_services 15 --top_k_pods 15 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.35 --stage2_stage2_weight 0.65 --disable_stage2_keep_top1_anchor --stage2_reranker_cv_predict --stage2_reranker_cv_folds 5 --stage2_reranker_cv_feature_set hybrid"
"beta","0.0","ok","156","0.12179487179487179","0.2948717948717949","0.3782051282051282","0.21923076923076926","0.24791666666666665","5.0576923076923075","0.26495726495726496","E:\CauseLens-master\outputs\sensitivity_156_beta_clean\beta\0p0","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156_beta_clean\beta\0p0 --dataset_type rcabench --seed 42 --tau_max 2 --top_k_services 8 --top_k_pods 10 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.0 --stage2_stage2_weight 1.0 --disable_stage2_keep_top1_anchor --disable_stage2_reranker --disable_type_aware_rerank --disable_code_top1_challenger --source_score_weight 0.0"
"beta","0.25","ok","156","0.12179487179487179","0.42948717948717946","0.5256410256410257","0.2858974358974359","0.311975986975987","4.25","0.358974358974359","E:\CauseLens-master\outputs\sensitivity_156_beta_clean\beta\0p25","D:\anaconda3\envs\causelens310\python.exe E:\CauseLens-master\LADSCausal\main.py --output_dir E:\CauseLens-master\outputs\sensitivity_156_beta_clean\beta\0p25 --dataset_type rcabench --seed 42 --tau_max 2 --top_k_services 8 --top_k_pods 10 --stage1_expand_factor 1.5 --stage1_gnn_weight 0.45 --stage1_anomaly_weight 0.55 --stage1_response_weight 0.55 --stage1_dual_hit_bonus 0.1 --stage2_stage1_weight 0.25 --stage2_stage2_weight 0.75 --disable_stage2_keep_top1_anchor --disable_stage2_reranker --disable_type_aware_rerank --disable_code_top1_challenger --source_score_weight 0.0"
